"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000166439",496.423117985513,0.155406584540179,0.0607322914943216,2.5588789870494,0.0105010288641907,0.0839372709889556,"RNF169"
"ENSG00000152558",319.160804358645,-0.389886332721242,0.111024571915634,-3.51171210115101,0.000445230029188738,0.00919171289809621,"TMEM123"
"ENSG00000109944",111.57312333468,-0.426906072954514,0.170891127577559,-2.49811724579301,0.0124854891536072,0.0948403550834383,"JHY"
"ENSG00000110013",161.296722483937,-0.251298721876616,0.0786553634730786,-3.1949343411607,0.00139862655743498,0.0208605859024394,"SIAE"
"ENSG00000109971",10392.22751317,-0.299938706737827,0.0816230554007788,-3.6746811947322,0.00023814658862857,0.00580747225424612,"HSPA8"
"ENSG00000118058",968.661963813483,0.283505962641511,0.0656886538250394,4.31590459132599,1.5895062674405e-05,0.000720413148289187,"KMT2A"
"ENSG00000250303",147.420738324481,-0.288228270260523,0.0970029566055905,-2.97133489891906,0.00296508251493513,0.0357021788378701,"LINC02762"
"ENSG00000048028",988.308247081542,-0.255094764846225,0.0744382885326117,-3.42692947238393,0.000610447596928039,0.0115157649128068,"USP28"
"ENSG00000254612",269.44483984147,-0.199340230783346,0.0803211283995529,-2.48179071628251,0.0130724027567959,0.0972895917236266,"DNAJB6P1"
"ENSG00000154133",148.685962083551,0.458666912241982,0.148602932166619,3.08652666239256,0.00202509784269813,0.0272003263431095,"ROBO4"
"ENSG00000149084",255.938675585419,-0.230897103047694,0.082314837096446,-2.80504841159023,0.00503090229270392,0.0516112762192887,"HSD17B12"
"ENSG00000283791",113.379382333191,0.572731680172789,0.193152779893327,2.96517441006592,0.00302511372315131,0.0363087254641632,"MIR612"
"ENSG00000068976",45571.5936658506,0.235607849640319,0.0737668409466239,3.19395336192857,0.00140338787555239,0.0208679848320279,"PYGM"
"ENSG00000109846",6735.06454684563,-0.466779359636058,0.0643203106754339,-7.25710673245141,3.95457661733077e-13,2.33003654293129e-10,"CRYAB"
"ENSG00000204370",1384.04103109899,-0.304128760369242,0.0909741086848891,-3.34302544719252,0.000828703001002133,0.0143891495537463,"SDHD"
"ENSG00000197580",174.473946657618,-0.7199946930696,0.122535661071811,-5.8757971905636,4.20813270064723e-09,8.08510365398266e-07,"BCO2"
"ENSG00000255292",314.928896990729,-0.277980208979382,0.077041316905779,-3.60819648655993,0.000308332945861008,0.00701740971336996,NA
"ENSG00000152402",594.230958256999,-0.283147397252959,0.08139739421735,-3.47858061029434,0.00050407680395166,0.0101256007795165,"GUCY1A2"
"ENSG00000149269",1014.05570046164,0.430073952262111,0.095583776098051,4.49944509223966,6.8131074188531e-06,0.000363832286210415,"PAK1"
"ENSG00000154096",20.7710094224177,-1.47515500577201,0.239159727558036,-6.16807445314569,6.91265962982363e-10,1.74554530881089e-07,"THY1"
"ENSG00000110583",88.0546153699017,-0.378289568203867,0.108906736298208,-3.47351854496895,0.00051368186347586,0.0102481271092543,"NAA40"
"ENSG00000176340",1874.13624379841,-0.269808368445355,0.0689153819585392,-3.91506744615704,9.03789396058823e-05,0.00280269848504136,"COX8A"
"ENSG00000256100",253.457709443434,-0.264777952921473,0.101086087933651,-2.61933128815176,0.00881023404314934,0.0750504563598592,NA
"ENSG00000137497",1606.14540320472,0.399673780572325,0.0934859756298975,4.27522714374397,1.90942521881617e-05,0.000827748648972509,"NUMA1"
"ENSG00000110200",126.737213436999,-0.329233770130408,0.101906140101808,-3.23075498494489,0.00123463725408748,0.0191265978117882,"ANAPC15"
"ENSG00000165458",663.89779041388,0.262399804265747,0.0914591315630867,2.8690388786903,0.00411721186649086,0.0447575873014098,"INPPL1"
